GEOID,GEONAME,CountyCity,MedianAge,LiveInStateWhereBorn,HouseholdSize,Income,Foodstamps,People18Poverty,People65Poverty,PeopleAllPoverty,NoHealthInsurance,MarriedCoupleHousehold,WomenNeverMarried,MenNeverMarried,Veterans,HasBroadband,filter_$,FSGroups,HIGroups
05000US06001,"Alameda County, California",County,38,73.2,2.8,108322,5.4,9.7,9.5,8.9,3.8,50.5,34.8,39.2,3.5,90.6,0,Lowest,Lowest
05000US06007,"Butte County, California",County,36.9,78.8,2.75,62563,11.8,13.2,10.9,15.9,6.1,46,32.2,43.2,6.4,89.6,0,Medium_High,Lowest
05000US06013,"Contra Costa County, California",County,40,74.3,2.86,107135,5.2,10.4,6.5,7.9,5.5,55,29.7,34.6,4.8,94.5,0,Lowest,Lowest
05000US06017,"El Dorado County, California",County,45.9,70.9,2.57,87059,5,10.1,5.5,9.3,5,56.5,22.8,31.5,8.1,91.6,0,Lowest,Lowest
05000US06019,"Fresno County, California",County,32.7,86.3,3.11,57518,17.4,29.7,15.4,20.6,8.4,46.4,35.6,42.4,4.9,82.1,0,Highest,Medium
05000US06023,"Humboldt County, California",County,38.4,74.2,2.36,51662,14.4,19.5,13.9,19.6,7.5,38.7,31.3,40.6,5.3,88.9,0,Highest,Medium
05000US06025,"Imperial County, California",County,32.3,83.1,3.54,48472,19.4,35.4,25,25.1,8.3,48.7,34.9,42.8,4.4,84.1,0,Highest,Medium
05000US06029,"Kern County, California",County,31.9,83.1,3.2,53067,16.9,26.7,13.5,19.1,8,49.8,34.2,42.1,5.3,83.4,0,Highest,Medium
05000US06031,"Kings County, California",County,31.8,81.9,3.09,58453,14.3,23.9,9.5,15.2,8.2,51.6,33.5,42.7,7.3,84.7,0,Medium_High,Medium
05000US06033,"Lake County, California",County,44.5,77.3,2.44,47138,11.6,24.9,12,18.9,5.6,40.8,26.3,37.4,10,80.7,0,Medium_High,Lowest
05000US06037,"Los Angeles County, California",County,37,78.5,2.96,72797,9.1,18.4,13.6,13.4,9.9,44.7,39.1,45.2,3.1,88.1,0,Medium_Low,Medium
05000US06039,"Madera County, California",County,34.7,83.5,3.35,64827,19.8,27.4,8.1,17.6,7.9,58.8,33.9,37,5.4,86.3,0,Highest,Medium
05000US06041,"Marin County, California",County,47.3,62.3,2.4,110843,2.6,7.5,6,6.7,4,49.8,27.4,29.7,4.5,92.4,0,Lowest,Lowest
05000US06045,"Mendocino County, California",County,43.4,76.8,2.45,51744,6,17.6,10.8,13.2,7.1,36.5,27.1,38.8,8,83.1,0,Lowest,Medium
05000US06047,"Merced County, California",County,31.7,84.8,3.36,61167,18.5,22.7,7.7,16.8,11.7,50,34.8,43.2,4.6,90.2,0,Highest,Highest
05000US06053,"Monterey County, California",County,35,78.3,3.25,77514,7.7,19.6,8.8,12.7,9.7,51.9,34.3,42.7,4.7,89,0,Medium_Low,Medium
05000US06055,"Napa County, California",County,41.6,76.3,2.78,92769,1.7,7,8.9,6.8,6.6,51.9,28.9,37.7,5.4,90.5,0,Lowest,Medium
05000US06057,"Nevada County, California",County,50,71.7,2.5,68818,5.4,14.3,3.8,8.4,5.3,51.6,21.9,23.2,9,88.8,0,Lowest,Lowest
05000US06059,"Orange County, California",County,38.6,76.1,3,95934,4.9,12.5,8.7,9.4,7.7,54.6,31.1,38.2,3.9,92.9,0,Lowest,Medium
05000US06061,"Placer County, California",County,42.4,73.2,2.68,97723,4.9,9.4,5.5,7.1,4.2,59.6,21.6,28.3,8.3,92,0,Lowest,Lowest
05000US06065,"Riverside County, California",County,36.2,78,3.31,73260,8.6,14,10.3,11.3,8.7,53.8,31.5,39.3,6.4,90.5,0,Medium_Low,Medium
05000US06067,"Sacramento County, California",County,36.6,78.3,2.74,72017,10.2,15.9,8.4,12.6,5.8,45.1,32.4,38.2,6.2,91.4,0,Medium_High,Lowest
05000US06071,"San Bernardino County, California",County,33.8,82.2,3.31,67903,12.6,18.4,11.5,13.3,9.1,52.2,34.2,41.5,5.4,88.4,0,Medium_High,Medium
05000US06073,"San Diego County, California",County,36.4,65.6,2.87,83985,6.1,12.7,9.5,10.3,8,50.7,31.7,39.9,7.9,92.7,0,Lowest,Medium
05000US06075,"San Francisco County, California",County,38.2,59.9,2.36,123859,5.5,7.3,15.2,9.5,3.8,34.9,43.4,51.5,2.7,89.7,0,Lowest,Lowest
05000US06077,"San Joaquin County, California",County,34.7,85.3,3.22,68997,14.7,18.7,11,13.7,6.8,53.4,33.7,40.4,4.6,87.3,0,Highest,Medium
05000US06079,"San Luis Obispo County, California",County,40,74.8,2.51,77265,5.3,11.3,6.2,11.9,5.8,51,30.9,39.2,7.3,91.7,0,Lowest,Lowest
05000US06081,"San Mateo County, California",County,39.9,72.5,2.86,138500,2.8,6.2,6,6,4.6,53.6,29.9,36.9,3.8,93.3,0,Lowest,Lowest
05000US06083,"Santa Barbara County, California",County,34.1,74.5,2.9,75653,7.4,12.5,7.6,12,10.8,44.9,39.7,44.3,5.5,91.2,0,Medium_Low,Highest
05000US06085,"Santa Clara County, California",County,37.4,74.4,2.94,133076,3.7,5.1,7.9,6.1,4.6,55.1,31.2,38.7,3.2,93.4,0,Lowest,Lowest
05000US06087,"Santa Cruz County, California",County,38.5,73.3,2.66,89269,8.3,7.1,7.4,10.1,5.3,47.1,37.9,42.4,4.5,90,0,Medium_Low,Lowest
05000US06089,"Shasta County, California",County,41,74.1,2.43,63091,9.6,13.1,10.1,12.6,7.1,47.2,24.9,35.1,9.9,83.5,0,Medium_Low,Medium
05000US06095,"Solano County, California",County,38.5,73.9,2.9,86652,6.2,11.2,7.4,8.9,4.7,49.9,29.2,37.1,9.4,92.2,0,Lowest,Lowest
05000US06097,"Sonoma County, California",County,43.1,75.2,2.55,87828,4.9,6.4,7.6,6.8,5.8,47.5,28.7,35.5,6.2,92.9,0,Lowest,Lowest
05000US06099,"Stanislaus County, California",County,34.5,86.1,3.12,63037,10.7,16.8,10,12.7,6.6,50.5,32.4,39.9,4.8,87.2,0,Medium_High,Medium
05000US06101,"Sutter County, California",County,36.2,80.7,2.91,62777,12.9,15.9,12.5,12.4,5.1,48.6,25.7,34.7,7.4,83,0,Medium_High,Lowest
05000US06103,"Tehama County, California",County,40.4,81.9,2.54,53475,14.5,29.4,9,18.3,5,45.3,19.9,27,7.8,88,0,Highest,Lowest
05000US06107,"Tulare County, California",County,31.4,86.5,3.2,57692,22.3,26,13.8,18.8,7.1,54.4,30.5,38.4,5.3,82.5,0,Highest,Medium
05000US06111,"Ventura County, California",County,39,76.3,3.1,92236,6.5,11.3,7.2,7.9,9.4,54.5,31.1,38.7,5.3,89.5,0,Lowest,Medium
05000US06113,"Yolo County, California",County,31.8,78.7,2.79,71417,11.1,14,9.5,18.1,4.1,46.9,41.7,47.9,3.9,90.1,0,Medium_High,Lowest
05000US06115,"Yuba County, California",County,33.7,80.6,2.88,58765,12.8,14.4,10.8,14.7,7.8,50.3,25.5,34,9.4,90.6,0,Medium_High,Medium
