GEOID,GEONAME,CountyCity,MedianAge,LiveInStateWhereBorn,HouseholdSize,Income,Foodstamps,People18Poverty,People65Poverty,PeopleAllPoverty,NoHealthInsurance,MarriedCoupleHousehold,WomenNeverMarried,MenNeverMarried,Veterans,HasBroadband,filter_$,FSGroups,HIGroups
05000US08001,"Adams County, Colorado",County,34,62.4,2.99,75804,8.5,11.9,4.4,8.9,10.3,51.8,28.7,36.8,7.2,90.1,0,Medium_Low,Highest
05000US08005,"Arapahoe County, Colorado",County,36.7,47.2,2.64,82710,5.8,8.2,6.5,6.9,8.8,49.4,29.8,36.4,7.6,93.4,0,Lowest,Medium
05000US08013,"Boulder County, Colorado",County,37,34.1,2.38,88535,5.2,7.9,6.8,10.9,5.4,46.1,33.5,43.3,4.3,92.9,0,Lowest,Lowest
05000US08014,"Broomfield County, Colorado",County,38.9,39.9,2.5,111400,2.7,4.8,2.8,3.5,5,56.4,23.7,32.8,7.1,94,0,Lowest,Lowest
05000US08031,"Denver County, Colorado",County,34.7,45.4,2.24,75646,6.8,14.9,9.8,11.7,8.5,34.1,39.7,45.8,5.5,91.5,0,Medium_Low,Medium
05000US08035,"Douglas County, Colorado",County,39.3,39.7,2.75,122867,1.5,1.7,2.6,2.5,3.1,66.7,22.9,25.8,8.7,97,0,Lowest,Lowest
05000US08041,"El Paso County, Colorado",County,34.5,34.1,2.64,72830,8.4,9.6,6.3,8.5,8.2,53.8,25.4,35.1,16,92.9,0,Medium_Low,Medium
05000US08059,"Jefferson County, Colorado",County,40.2,49.3,2.43,90040,4,10.4,6,7.1,6.3,51,26.9,33.4,7.4,92.3,0,Lowest,Lowest
05000US08069,"Larimer County, Colorado",County,36.4,43.9,2.37,75186,4.9,8.2,6.2,11.3,5.8,50.5,32.5,37.2,6.7,91.9,0,Lowest,Lowest
05000US08077,"Mesa County, Colorado",County,39.9,50.9,2.37,60500,9.9,13.1,8,10.7,9.9,53.5,21.4,28.1,8.1,88.2,0,Medium_Low,Medium
05000US08101,"Pueblo County, Colorado",County,39.8,65.4,2.49,51276,18.3,26.3,12.7,17.9,7.3,44.4,28.6,35.3,10.8,82.1,0,Highest,Medium
05000US08123,"Weld County, Colorado",County,34.8,58.6,2.85,78615,5.2,9.3,7,7.9,10,58.2,26.4,31.4,6.5,89.9,0,Lowest,Medium
16000US0803455,"Arvada city, Colorado",City,40.2,54.9,2.49,89523,5.2,15.6,5.6,7.3,6.7,51.8,27.3,32.1,7.5,91.6,0,Lowest,Medium
16000US0804000,"Aurora city, Colorado",City,34.3,50.8,2.77,69235,8.1,13.3,6.8,9.4,13.2,44.2,31.8,40.2,7.9,93.3,0,Medium_Low,Highest
16000US0807850,"Boulder city, Colorado",City,28.9,31.2,2.22,74900,5.4,6.9,6.8,19.2,4,34.7,51.3,61,3.1,91.6,0,Lowest,Lowest
16000US0809280,"Broomfield city, Colorado",City,38.9,39.9,2.5,111400,2.7,4.8,2.8,3.5,5,56.4,23.7,32.8,7.1,94,0,Lowest,Lowest
16000US0812415,"Castle Rock town, Colorado",City,37,35,2.85,115543,3.5,3.1,5.2,3.6,4.3,65.1,24.1,27.1,11.7,93.9,0,Lowest,Lowest
16000US0812815,"Centennial city, Colorado",City,40.8,43.3,2.7,111257,1.7,2.7,2.9,3,3.9,63.4,23.8,28.6,7,96.3,0,Lowest,Lowest
16000US0816000,"Colorado Springs city, Colorado",City,35.6,35.9,2.49,70527,9.6,10.2,6.2,9.3,8.9,48,26.9,36.5,14.2,93,0,Medium_Low,Medium
16000US0820000,"Denver city, Colorado",City,34.7,45.4,2.24,75646,6.8,14.9,9.8,11.7,8.5,34.1,39.7,45.8,5.5,91.5,0,Medium_Low,Medium
16000US0827425,"Fort Collins city, Colorado",City,30.6,40.8,2.28,70474,4.8,4.8,6.9,15.5,5.6,39.9,43.8,50.1,5,91.6,0,Lowest,Lowest
16000US0832155,"Greeley city, Colorado",City,33.1,59,2.67,61492,8.8,19,5.1,14.1,9.6,49.7,33.3,40.6,5.7,87.2,0,Medium_Low,Medium
16000US0836410,"Highlands Ranch CDP, Colorado",City,40.1,39.5,2.69,132836,.5,.8,.3,1.4,2.4,64.4,22.5,27.5,7.9,97.6,0,Lowest,Lowest
16000US0843000,"Lakewood city, Colorado",City,37.6,50.9,2.29,70178,5.5,8.2,9.2,7.9,9.4,38.9,31.4,42.1,6.4,92.2,0,Lowest,Medium
16000US0845970,"Longmont city, Colorado",City,40.2,37.1,2.4,82974,9.2,9.5,9.8,8.2,6.6,46.9,25.1,32.9,5.5,92.2,0,Medium_Low,Medium
16000US0846465,"Loveland city, Colorado",City,38.1,48.2,2.35,71740,6.6,20.6,7.1,11.8,5.6,49.9,24.4,29,9,91.2,0,Medium_Low,Lowest
16000US0862000,"Pueblo city, Colorado",City,37.3,70.3,2.43,43148,23.3,31.7,17.7,22.9,8.3,37.8,31.7,39.8,9.5,81.1,0,Highest,Medium
16000US0877290,"Thornton city, Colorado",City,34,61.8,3.01,80833,5.8,10.2,2.5,9.3,8.5,57.8,28.8,34.4,8.3,94.6,0,Lowest,Medium
16000US0883835,"Westminster city, Colorado",City,36.2,55.4,2.57,81322,4.5,10.7,5,6.1,6.6,47.7,30.8,34.1,6.6,92.4,0,Lowest,Medium
