GEOID,GEONAME,CountyCity,MedianAge,LiveInStateWhereBorn,HouseholdSize,Income,Foodstamps,People18Poverty,People65Poverty,PeopleAllPoverty,NoHealthInsurance,MarriedCoupleHousehold,WomenNeverMarried,MenNeverMarried,Veterans,HasBroadband,filter_$,FSGroups,HIGroups
05000US12001,"Alachua County, Florida",County,32.6,59.5,2.47,49534,7.5,15.6,9.3,18.6,8.8,37.3,45.4,47.2,7,88,0,Medium_Low,Medium
05000US12005,"Bay County, Florida",County,41.4,41.9,2.49,59450,12.2,12.2,8.9,10.3,12.6,48,25,32.8,13.2,88.7,0,Medium_High,Highest
05000US12009,"Brevard County, Florida",County,47.2,34.1,2.59,57305,8.6,10.1,7,8.7,10.6,47.8,24.8,32.1,14.4,89.9,0,Medium_Low,Highest
05000US12011,"Broward County, Florida",County,40.9,53.7,2.74,61502,11.3,16.3,14.2,12.2,15.3,41.8,31.8,38.9,4.5,88.1,0,Medium_High,Highest
05000US12015,"Charlotte County, Florida",County,60.2,20.9,2.43,54652,6.8,22.9,6.3,12,10.9,52.8,16.1,25,13.3,88,0,Medium_Low,Highest
05000US12017,"Citrus County, Florida",County,57.2,30.5,2.28,50751,10.3,25.2,8.8,15.7,11.9,52.8,18.8,25.4,13.2,85.9,0,Medium_High,Highest
05000US12019,"Clay County, Florida",County,40.8,45.3,2.87,76687,7,12.5,4.6,8.5,9.6,60.2,23.1,27.5,16.2,93.8,0,Medium_Low,Medium
05000US12021,"Collier County, Florida",County,51.8,30.9,2.71,76025,6.5,11.5,8,9.3,13.1,58.8,19.1,25,7.4,88.8,0,Lowest,Highest
05000US12023,"Columbia County, Florida",County,40.2,63.6,2.65,47094,15.9,15.4,6.6,14.1,15.7,43.4,27.2,41.5,10.7,82.1,0,Highest,Highest
05000US12031,"Duval County, Florida",County,36.4,54.3,2.53,58415,11.9,19.4,13.5,13.6,12.7,40,33.3,39.6,10.7,88.4,0,Medium_High,Highest
05000US12033,"Escambia County, Florida",County,37.3,50,2.49,53136,14.4,24.7,9.3,15.3,12.7,39.3,31.6,41.8,14,84,0,Highest,Highest
05000US12035,"Flagler County, Florida",County,52.2,28.4,2.58,60204,6.2,15.7,6.5,10.4,13.2,56.8,21.8,26.2,11.4,76.4,0,Lowest,Highest
05000US12053,"Hernando County, Florida",County,49.1,34.4,2.44,51031,13.6,18.5,8.6,12.3,11.8,51,20.4,26.6,13.7,90.5,0,Medium_High,Highest
05000US12055,"Highlands County, Florida",County,54.2,44,2.41,48698,14.8,22.2,8.7,14.4,11.6,48.7,21.1,23.8,10.8,78.4,0,Highest,Highest
05000US12057,"Hillsborough County, Florida",County,37.8,48.3,2.68,61154,11.4,18.4,13,13.5,13.1,43,32.9,39.5,7.6,91,0,Medium_High,Highest
05000US12061,"Indian River County, Florida",County,54.5,36.5,2.47,59782,6.9,25,6.1,12.3,13.2,53,22,26.3,11.4,84.1,0,Medium_Low,Highest
05000US12069,"Lake County, Florida",County,47.1,39.1,2.61,57588,10.9,21,6.6,11.2,11.1,52.7,24.3,28.8,11.8,87.4,0,Medium_High,Highest
05000US12071,"Lee County, Florida",County,49.3,31.5,2.65,62240,6.9,19.1,6.9,11.3,12.2,51.9,23.5,28.8,8.5,89.8,0,Medium_Low,Highest
05000US12073,"Leon County, Florida",County,31.3,62.6,2.39,54929,12.6,24.3,12.6,21.9,9.3,34.5,45,49.3,5.5,89.1,0,Medium_High,Medium
05000US12081,"Manatee County, Florida",County,49.4,36.6,2.75,64499,8.4,21.2,9.1,11.5,12.3,52.3,24.8,31.8,9.5,87.9,0,Medium_Low,Highest
05000US12083,"Marion County, Florida",County,48.9,42.3,2.45,49576,12.6,26.6,8.1,15,12.5,52.2,24.3,28.2,12.3,87.6,0,Medium_High,Highest
05000US12085,"Martin County, Florida",County,53.3,32.9,2.42,70842,7.9,7.1,5.7,7.4,8.6,47.8,19.8,30.4,11,87.7,0,Medium_Low,Medium
05000US12086,"Miami-Dade County, Florida",County,40.5,71.3,2.93,55171,21.7,20.5,21.7,15.6,16.3,43.8,33.1,38.9,2.1,80.3,0,Highest,Highest
05000US12087,"Monroe County, Florida",County,48.3,37.3,2.2,68589,6.7,6.5,14.6,8.7,20.4,44.3,21.9,31.4,9.3,85,0,Medium_Low,Highest
05000US12089,"Nassau County, Florida",County,46.5,44.3,2.49,70939,9.3,13.9,5.5,9.9,8.5,59,17,22.8,13.5,90.8,0,Medium_Low,Medium
05000US12091,"Okaloosa County, Florida",County,37.2,36.4,2.69,64222,6.6,18.2,7,11.4,13.5,50.3,26.7,34.5,19.1,88.6,0,Medium_Low,Highest
05000US12095,"Orange County, Florida",County,35.6,45.1,2.98,63461,12.9,18.1,11.4,12.6,13.4,46,35.4,42.2,5.3,90.2,0,Medium_High,Highest
05000US12097,"Osceola County, Florida",County,36,31.4,3.35,51760,15.9,19.3,10.2,14.5,13.3,48.7,38.2,41.1,6.2,86.9,0,Highest,Highest
05000US12099,"Palm Beach County, Florida",County,45.2,42.1,2.59,66623,9.1,15.9,9.8,11.4,13.9,45.5,28.1,35,6.2,87.6,0,Medium_Low,Highest
05000US12101,"Pasco County, Florida",County,44.3,39.2,2.57,55828,11.1,16.7,9.8,11.3,12.9,50.1,23.3,31.1,10.5,86.9,0,Medium_High,Highest
05000US12103,"Pinellas County, Florida",County,48.9,37.4,2.42,56737,8.3,13.1,11.4,11.2,11.4,41.7,26.7,34.8,9.7,87.1,0,Medium_Low,Highest
05000US12105,"Polk County, Florida",County,40.2,45.9,2.98,51833,13.8,21.2,9.5,14,13.9,47.3,33,36.5,9.1,81.6,0,Medium_High,Highest
05000US12107,"Putnam County, Florida",County,46.6,57.6,2.37,42899,16.4,36.2,11.8,22.9,16.1,39.9,23.1,33.9,12.1,83.1,0,Highest,Highest
05000US12109,"St. Johns County, Florida",County,44,36.8,2.77,90356,5.2,6.1,5,6.4,8.5,59.3,23.1,27.8,10.6,90,0,Lowest,Medium
05000US12111,"St. Lucie County, Florida",County,45.2,43.9,2.78,58039,12.5,10,8.4,9.7,14.3,49.3,27.4,32.7,9.5,89.1,0,Medium_High,Highest
05000US12113,"Santa Rosa County, Florida",County,40.4,39.6,2.69,64930,7,11.7,11.4,10.1,10.4,56.6,20.9,28.5,15.8,91.4,0,Medium_Low,Highest
05000US12115,"Sarasota County, Florida",County,57.3,26.9,2.28,66342,5.2,6.8,5.2,7,10.7,50.2,19.9,25.7,10.9,88.5,0,Lowest,Highest
05000US12117,"Seminole County, Florida",County,39.5,41,2.58,70190,8.4,11.3,6.2,9.3,9.1,50.6,28,33.6,7.4,92.3,0,Medium_Low,Medium
05000US12119,"Sumter County, Florida",County,68.9,21.1,2.06,60287,4.1,6.8,7.2,8.1,7.1,60,8.9,18.7,16.8,89.4,0,Lowest,Medium
05000US12127,"Volusia County, Florida",County,47,39.2,2.47,53766,12.2,19.9,8.7,12.9,13.2,46.1,23.9,34.2,10.9,85.3,0,Medium_High,Highest
05000US12131,"Walton County, Florida",County,43.3,44.6,2.74,60457,8.8,11.3,6.7,9.2,12.5,52.2,14.3,27.8,12.1,84.8,0,Medium_Low,Highest
16000US1200410,"Alafaya CDP, Florida",City,32.6,36.7,3.14,75384,8.7,3.1,12.3,6.9,11,52.9,25.5,37.5,6.1,95,0,Medium_Low,Highest
16000US1207300,"Boca Raton city, Florida",City,47.6,34.7,2.35,88828,2.8,13.2,8.3,11.2,6.5,41.8,29.3,36.5,4.9,90.9,0,Lowest,Medium
