GEOID,GEONAME,CountyCity,MedianAge,LiveInStateWhereBorn,HouseholdSize,Income,Foodstamps,People18Poverty,People65Poverty,PeopleAllPoverty,NoHealthInsurance,MarriedCoupleHousehold,WomenNeverMarried,MenNeverMarried,Veterans,HasBroadband,filter_$,FSGroups,HIGroups
16000US1301052,"Albany city, Georgia",City,34.1,79.6,2.59,31397,25.8,41.6,22.5,31,19.7,26.9,43.2,49.9,6.3,71.8,0,Highest,Highest
16000US1301696,"Alpharetta city, Georgia",City,41.6,36.4,2.63,136047,1.1,3.8,4.3,3.5,6,62.5,25,24.7,6.1,93.5,0,Lowest,Lowest
16000US1303440,"Athens-Clarke County unified government (balance), Georgia",City,28.5,63.8,2.22,39451,11.6,30,4.4,27.5,12.8,29.6,49.3,57,4.4,85.7,0,Medium_High,Highest
16000US1304000,"Atlanta city, Georgia",City,33.3,54.2,2.09,66657,13.8,34.9,16.4,20.2,9.6,25.8,53.2,57.2,4.4,87.9,0,Medium_High,Medium
16000US1304204,"Augusta-Richmond County consolidated government (balance), Georgia",City,34.2,64.6,2.8,44914,17.2,35.1,13.9,20.9,11,32.7,39.5,50,11.6,82.1,0,Highest,Highest
16000US1319000,"Columbus city, Georgia",City,34.9,61.5,2.59,46934,15,24.8,17.2,18.2,10.5,38.5,32.3,40.9,13,84.4,0,Highest,Highest
16000US1342425,"Johns Creek city, Georgia",City,41.3,35.4,2.94,151773,4.1,1.3,7.3,2,2.6,69,24.7,29.4,4.2,98.5,0,Lowest,Lowest
16000US1349008,"Macon-Bibb County, Georgia",City,36.5,76.8,2.6,42140,18.3,39,12.7,23.4,12.9,35.7,42,39.3,8.1,82,0,Highest,Highest
16000US1367284,"Roswell city, Georgia",City,39.3,38.4,2.62,109805,2.9,9.1,4.6,5.9,7.6,57.8,22.7,31.6,6.4,96,0,Lowest,Medium
16000US1368516,"Sandy Springs city, Georgia",City,37.3,42.9,2.06,83111,2,3.8,3.8,3.9,6.9,38.5,36.2,36.9,5.2,93.8,0,Lowest,Medium
16000US1369000,"Savannah city, Georgia",City,33.4,58.7,2.51,45533,15.8,29.3,16.5,19.4,15.1,30.3,46.1,50.8,8.9,83.7,0,Highest,Highest
