Entity,ScienceScore,ReadingScore,Reading10thPercentile,Reading90thPercentile,ReadingFemale,ReadingMale,HighProficient,AveProficient,LowProficient,ScienceLevel,MathLevel,GDPGroups,PopDenGroups,PopGroup
Albania,427.225,405.2588,278.6851,528.2347,434.6396255,375.7591992,6.091603305,43.63112671,50.27726999,Low,Low,LowGDP,LowPopDen,LowPop
Algeria,375.7451,349.8593,258.2186,443.2819,366.2081668,335.1854359,0.349443709,20.68118537,78.96937092,Low,Low,LowGDP,LowPopDen,MedHighPop
Argentina,432.2262,425.3031,308.8581,538.4891,432.9580796,416.9666072,7.360724626,50.88884355,41.75043183,Low,Low,LowGDP,LowPopDen,MedHighPop
Australia,509.9939,502.9006,365.1005,630.5651,518.8657992,487.1855255,33.06888643,48.86364204,18.06747153,High,Average,HighGDP,LowPopDen,MedHighPop
Belgium,501.9997,498.5242,360.0961,622.8442,506.6385988,490.6641558,32.56612167,47.89935106,19.53452727,High,High,HighGDP,HighPopDen,MedHighPop
Brazil,400.6821,407.3486,279.1686,539.4847,418.5616822,395.4632549,7.811736626,41.1961709,50.99209247,Low,Low,LowGDP,LowPopDen,HighPop
Bulgaria,445.772,431.7175,277.4569,577.5583,456.5985615,409.4497796,15.25264899,43.277895,41.469456, ,Low,LowGDP,LowPopDen,LowMedPop
Canada,527.7047,526.6678,403.5663,641.9487,539.7623857,513.535458,40.60572814,48.71270002,10.68157184,High,High,HighGDP,LowPopDen,MedHighPop
Chile,446.9561,458.5709,342.2829,571.7374,464.561642,452.6422417,14.70558359,56.90980036,28.38461605,Average,Low,LowGDP,LowPopDen,MedHighPop
China,517.7793,493.9412,346.4177,629.826,502.5585769,486.398967,31.75111896,46.36345796,21.88542308,High,High,LowGDP,LowPopDen,HighPop
Colombia,415.7288,424.9052,307.6048,542.3877,432.2819264,416.6816261,8.01450578,49.14596595,42.83952827,Low,Low,LowGDP,LowPopDen,HighPop
Costa Rica,419.608,427.4875,326.3363,530.1252,434.8748324,419.8604865,5.882594624,53.81098076,40.30642461,Low,Low,LowGDP,LowPopDen,LowMedPop
Croatia,475.3912,486.8632,366.677,603.4391,499.5857924,473.1366891,24.9130447,55.22107497,19.86588033,Average,Average,LowGDP,LowPopDen,LowPop
Cyprus,432.5964,442.8443,304.52715,573.1956,468.6583373,416.8270516,14.39385967,49.97761162,35.62852871,Low,Low,LowGDP,LowPopDen,LowPop
Czechia,492.83,487.2501,352.1458,614.3024,500.6526599,474.5474644,27.16880159,50.80794265,22.02325576,Average,Average,LowGDP,LowPopDen,MedHighPop
Denmark,501.9369,499.8146,382.9088,608.1944,510.951614,488.7816405,28.44787368,56.55651017,14.99561615,High,High,HighGDP,LowPopDen,LowMedPop
Dominican Republic,331.6388,357.7377,250.4237,470.8409,372.7805828,342.1681549,1.360158738,26.50438562,72.13545565,Low,Low,LowGDP,HighPopDen,MedHighPop
Estonia,534.1937,519.1429,404.1139,630.0265,533.3619842,505.4863257,36.43029068,52.93106189,10.63864743,High,High,LowGDP,LowPopDen,LowPop
