GEOID,GEONAME,CountyCity,MedianAge,LiveInStateWhereBorn,HouseholdSize,Income,Foodstamps,People18Poverty,People65Poverty,PeopleAllPoverty,NoHealthInsurance,MarriedCoupleHousehold,WomenNeverMarried,MenNeverMarried,Veterans,HasBroadband,filter_$,FSGroups,HIGroups
05000US17001,"Adams County, Illinois",County,41.7,79.2,2.37,55727,12.5,23.2,6.9,12.5,6,51,22.9,28.5,8.2,81,0,Medium_High,Lowest
05000US17019,"Champaign County, Illinois",County,30.8,73.5,2.38,52405,11.2,21.4,8.8,21.1,4.3,35.8,45.1,53.1,4.3,84.1,0,Medium_High,Lowest
05000US17031,"Cook County, Illinois",County,37.2,78.2,2.55,69429,13,18.3,11.3,13,9.5,40,39.6,44,3.5,85.5,0,Medium_High,Medium
05000US17037,"DeKalb County, Illinois",County,31.4,81.2,2.55,64131,10,11.3,10.2,13.6,5.9,42.4,41.5,45.3,5.1,92.5,0,Medium_Low,Lowest
05000US17043,"DuPage County, Illinois",County,39.8,77.6,2.66,96403,5.6,7.8,4.2,5.9,5.3,56.7,26.8,33.8,3.9,93,0,Lowest,Lowest
05000US17089,"Kane County, Illinois",County,38.2,80.4,2.89,84368,10.8,14.1,6.2,8.2,7.9,55.3,29.1,36.1,5.1,89,0,Medium_High,Medium
05000US17091,"Kankakee County, Illinois",County,38.7,83.8,2.64,60923,16,19.6,9.3,12.2,5,45.7,35.2,38.1,7.7,80.2,0,Highest,Lowest
05000US17093,"Kendall County, Illinois",County,35.9,82.3,3.11,104858,8.5,4.1,4.1,3.2,6,63.6,29.2,32.4,3.5,92.9,0,Medium_Low,Lowest
05000US17097,"Lake County, Illinois",County,38.7,74.8,2.74,92511,7.6,10.6,5.3,7.1,7.2,57.8,28.2,34.7,5.5,91.7,0,Medium_Low,Medium
05000US17099,"LaSalle County, Illinois",County,42.1,85.9,2.32,59130,13.1,21.3,7.6,12.9,3.5,45.1,28.9,33.3,8.8,83.2,0,Medium_High,Lowest
05000US17111,"McHenry County, Illinois",County,40.2,82.7,2.71,88879,5.8,6.6,5.1,5.1,6.6,59.7,24.5,31.7,5.1,94.4,0,Lowest,Medium
05000US17113,"McLean County, Illinois",County,34,81.4,2.48,68784,9,8.4,11.6,15.7,4.8,48.3,36.9,40,6.4,82.8,0,Medium_Low,Lowest
05000US17115,"Macon County, Illinois",County,40.4,82.3,2.35,50839,16.7,19.6,10.8,17.4,4.9,45.1,30.8,34.9,8.1,75.8,0,Highest,Lowest
05000US17119,"Madison County, Illinois",County,41.1,70.6,2.38,67440,11.8,14.3,7.6,10.6,5.2,48.5,26,31.4,8.8,87,0,Medium_High,Lowest
05000US17143,"Peoria County, Illinois",County,38.5,78.8,2.36,57247,17.7,21.9,7,14.8,6.8,41.4,31.5,41.1,6.7,83.9,0,Highest,Medium
05000US17161,"Rock Island County, Illinois",County,40.7,69,2.26,58313,16.5,22.6,8.7,14,6.3,43.2,27.6,33.8,7.7,86.5,0,Highest,Lowest
05000US17163,"St. Clair County, Illinois",County,38.9,58.4,2.41,57169,15.9,19.3,7.7,12.9,6.8,43,33.1,35.7,13.1,83.2,0,Highest,Medium
05000US17167,"Sangamon County, Illinois",County,40.8,81.9,2.29,61280,13.5,19.1,6.9,12.7,4.7,41.2,32.2,35.9,7.9,80.2,0,Medium_High,Lowest
05000US17179,"Tazewell County, Illinois",County,41.6,83.2,2.43,65848,10.8,7.3,5,7.8,4.9,50.9,22.8,29.3,7.6,81.9,0,Medium_High,Lowest
05000US17183,"Vermilion County, Illinois",County,40.5,86.7,2.34,43111,17.9,27.3,8.9,16.5,5,38.4,28.9,35.9,8.6,80.3,0,Highest,Lowest
05000US17197,"Will County, Illinois",County,38.6,84.6,2.96,90134,7.7,9.2,4.6,6.4,5.9,57.9,30,36.4,5.4,90.8,0,Medium_Low,Lowest
05000US17199,"Williamson County, Illinois",County,41,80.2,2.33,58097,9.8,16.2,8.9,12.1,7,46.5,23.6,30.6,8.8,82.9,0,Medium_Low,Medium
05000US17201,"Winnebago County, Illinois",County,39.8,75.2,2.42,59455,17.4,29.9,6.5,17,5.8,44.7,30.6,35.4,7.1,86.7,0,Highest,Lowest
16000US1702154,"Arlington Heights village, Illinois",City,44.6,80.5,2.47,102628,3.3,.8,5.6,3.8,5.4,58.6,19,32,5.8,88.3,0,Lowest,Lowest
16000US1703012,"Aurora city, Illinois",City,35.3,78.1,3.08,73071,16.1,18.8,7.9,10.9,10,53.4,33.3,40.8,3.5,86.7,0,Highest,Medium
16000US1706613,"Bloomington city, Illinois",City,35.4,76.8,2.38,67874,12.9,7.1,18.5,13.2,6.3,46.5,32.2,34.7,6.9,82.5,0,Medium_High,Lowest
16000US1707133,"Bolingbrook village, Illinois",City,37.9,81,3.19,94198,7.5,9.7,5.9,6,9.7,54.7,36.8,35.4,4,90.6,0,Medium_Low,Medium
16000US1712385,"Champaign city, Illinois",City,27.2,70.9,2.25,47379,11.7,18.9,17.3,26.2,3.5,25.8,54,61.7,3.7,84.8,0,Medium_High,Lowest
16000US1714000,"Chicago city, Illinois",City,35.2,74.6,2.44,61811,16.6,23.2,16,16.4,9.7,32.5,46.2,50.6,3,83.6,0,Highest,Medium
16000US1714351,"Cicero town, Illinois",City,31.1,87.1,3.57,51814,16.5,14.7,14.5,10.3,18,46,46,50.8,1.8,87.1,0,Highest,Highest
16000US1718823,"Decatur city, Illinois",City,39.7,79.9,2.22,41440,22.8,30.7,13.6,24.4,6.8,36.2,36.3,41,8.4,71.8,0,Highest,Medium
16000US1723074,"Elgin city, Illinois",City,34.9,83.6,2.95,70192,14.7,20.8,8.9,11.5,12.9,46.6,31.9,40.1,4.1,89.4,0,Highest,Highest
16000US1724582,"Evanston city, Illinois",City,35.1,60.3,2.36,81543,6.3,6.2,6.2,11.4,4.9,43.5,44.3,43.2,2.8,90.1,0,Lowest,Lowest
