GEOID,GEONAME,CountyCity,MedianAge,LiveInStateWhereBorn,HouseholdSize,Income,Foodstamps,People18Poverty,People65Poverty,PeopleAllPoverty,NoHealthInsurance,MarriedCoupleHousehold,WomenNeverMarried,MenNeverMarried,Veterans,HasBroadband,filter_$,FSGroups,HIGroups
05000US22005,"Ascension Parish, Louisiana",County,35.7,85.7,2.84,85425,7,11.8,4.6,8.3,6.3,59.5,26.6,29.3,4.5,88.3,0,Medium_Low,Lowest
05000US22015,"Bossier Parish, Louisiana",County,35.8,61.1,2.51,49962,10.1,31.4,8.3,18.8,11.8,46.2,28.4,34.1,10.9,71.6,0,Medium_Low,Highest
05000US22017,"Caddo Parish, Louisiana",County,38.8,79.6,2.54,45537,17.5,37.5,13.2,24.6,8.8,37.5,37.7,41.3,7.7,72.4,0,Highest,Medium
05000US22019,"Calcasieu Parish, Louisiana",County,36.3,78,2.59,51246,14.8,28.7,12.3,21,8,44.9,28.5,34.9,6.8,82.5,0,Highest,Medium
05000US22033,"East Baton Rouge Parish, Louisiana",County,34.5,81.6,2.66,56451,13.3,24.1,11,17.5,10.4,36.8,41.1,47.5,6,88.2,0,Medium_High,Highest
05000US22045,"Iberia Parish, Louisiana",County,37.5,91.8,2.63,50991,17.1,30.2,13.5,21.8,11.2,48.8,28.8,38.7,3.4,86.1,0,Highest,Highest
05000US22051,"Jefferson Parish, Louisiana",County,39.9,81.1,2.49,56069,11.6,22.3,8.3,13.9,11,40.5,31.2,36.8,6.8,84.9,0,Medium_High,Highest
05000US22055,"Lafayette Parish, Louisiana",County,35.9,84.9,2.53,60567,11.1,25.2,10.3,17.6,6.9,45.7,32.4,38.4,7.1,89.2,0,Medium_High,Medium
05000US22057,"Lafourche Parish, Louisiana",County,37.8,91.6,2.6,51339,14.6,32.1,9.4,18.9,8.9,50,28.4,34.5,5.3,80.2,0,Highest,Medium
05000US22063,"Livingston Parish, Louisiana",County,36,82.5,2.97,62187,8.5,14.9,11.4,13.1,8.7,46.9,29.8,31.4,5.1,80.5,0,Medium_Low,Medium
05000US22071,"Orleans Parish, Louisiana",County,38.3,74.8,2.5,45615,15.7,33.1,21.3,23.2,8.6,26.5,47.7,52.3,4.7,78.8,0,Highest,Medium
05000US22073,"Ouachita Parish, Louisiana",County,37.1,79.2,2.52,41137,19.2,39.9,19.1,25.2,8.9,38,36.2,44.5,6.5,78.4,0,Highest,Medium
05000US22079,"Rapides Parish, Louisiana",County,37.7,85.7,2.56,50490,18.5,26,9.9,17.9,9.9,39.5,27.8,39.8,9.7,80.8,0,Highest,Medium
05000US22097,"St. Landry Parish, Louisiana",County,38.2,94.9,2.66,38681,17.9,29,19.5,22,8.1,40.3,35.7,45,6.3,58.9,0,Highest,Medium
05000US22103,"St. Tammany Parish, Louisiana",County,40.4,73.8,2.72,69076,7.2,17.4,8.7,12.3,7.9,52.1,26.7,32.1,7.3,88.6,0,Medium_Low,Medium
05000US22105,"Tangipahoa Parish, Louisiana",County,36.6,81.2,2.82,47825,17.6,35.3,13.1,22.9,9,46.3,33.9,33.9,5.3,82.1,0,Highest,Medium
05000US22109,"Terrebonne Parish, Louisiana",County,36.2,87.3,2.71,48446,15,30.9,11.1,20,8.4,44.7,32.1,37.7,6.6,86,0,Highest,Medium
16000US2205000,"Baton Rouge city, Louisiana",City,33.8,81.4,2.58,45819,17.6,33.5,11.7,23.7,11.7,28,48.4,55.5,5.4,86.1,0,Highest,Highest
16000US2208920,"Bossier City city, Louisiana",City,35.4,57.4,2.49,47339,13.2,37.6,9.5,22,9.6,38.3,29,39.8,11.7,69.1,0,Medium_High,Medium
16000US2239475,"Kenner city, Louisiana",City,41.2,75.6,2.52,58283,9.3,17.9,5.7,9.6,8.6,44.5,36.4,28.4,7.3,87.2,0,Medium_Low,Medium
16000US2240735,"Lafayette city, Louisiana",City,37.6,82.5,2.33,51477,12.4,30.8,10.7,18.6,6.4,38.1,36.8,43.3,6.4,89.6,0,Medium_High,Medium
16000US2241155,"Lake Charles city, Louisiana",City,37.6,81.1,2.32,37894,17.8,42.6,19.6,26.7,8.5,32.3,35.4,42.3,7.1,79.5,0,Highest,Medium
16000US2250115,"Metairie CDP, Louisiana",City,40.6,81.2,2.3,60404,5.9,24.1,8.9,15.1,11.9,39.6,30.4,35.8,6,84.5,0,Lowest,Highest
16000US2255000,"New Orleans city, Louisiana",City,38.3,74.8,2.5,45615,15.7,33.1,21.3,23.2,8.6,26.5,47.7,52.3,4.7,78.8,0,Highest,Medium
16000US2270000,"Shreveport city, Louisiana",City,36.1,80.1,2.49,45013,17.8,41,14.5,26.2,7.6,33.9,43.1,45,7.1,72.2,0,Highest,Medium
