GEOID,GEONAME,CountyCity,MedianAge,LiveInStateWhereBorn,HouseholdSize,Income,Foodstamps,People18Poverty,People65Poverty,PeopleAllPoverty,NoHealthInsurance,MarriedCoupleHousehold,WomenNeverMarried,MenNeverMarried,Veterans,HasBroadband,filter_$,FSGroups,HIGroups
05000US24001,"Allegany County, Maryland",County,42.5,74.6,2.33,48867,25.2,19.7,10.5,15.6,4.9,39.3,30.2,43.4,7.8,78.7,0,Highest,Lowest
05000US24003,"Anne Arundel County, Maryland",County,38.5,53.7,2.6,101147,5.1,7.4,3.9,5,3.6,55.4,25.5,33,12.1,93.6,0,Lowest,Lowest
05000US24005,"Baltimore County, Maryland",County,39.5,73.4,2.58,77358,9.3,10.6,9,8.9,5.8,44.2,34.1,37.9,5.8,88.1,0,Medium_Low,Lowest
05000US24009,"Calvert County, Maryland",County,40.1,55.6,2.81,112380,4.1,9.4,2.2,5.9,4.9,61.8,26.4,30.3,11.3,92.4,0,Lowest,Lowest
05000US24013,"Carroll County, Maryland",County,42.4,70.5,2.72,103014,5.7,5,3.4,4.6,3.3,63.4,22.8,30.8,8.6,88.8,0,Lowest,Lowest
05000US24015,"Cecil County, Maryland",County,41,48.4,2.63,76441,9.9,14.3,12.6,12.3,3.9,51.1,27.5,34.9,9.2,90.1,0,Medium_Low,Lowest
05000US24017,"Charles County, Maryland",County,38.8,45.8,2.8,103932,5.2,8.8,6,5.5,3.7,48.9,35.9,38.2,13.3,91.1,0,Lowest,Lowest
05000US24021,"Frederick County, Maryland",County,38.7,54.6,2.72,103516,5.6,5.5,5.8,5.6,4.3,56.3,27,31.5,8.2,91.6,0,Lowest,Lowest
05000US24025,"Harford County, Maryland",County,41.1,66,2.64,92331,6.9,9.4,5.2,6.7,3.1,57.8,25.6,32.3,10,92.5,0,Medium_Low,Lowest
05000US24027,"Howard County, Maryland",County,38.9,51.7,2.79,121618,4,4.4,5.7,4.8,4.5,58.5,29.4,34.4,6.7,94.4,0,Lowest,Lowest
05000US24031,"Montgomery County, Maryland",County,39.7,39.2,2.83,110389,5.9,9.4,7.5,7.4,7.5,54,30.7,35.7,4.5,93.4,0,Lowest,Medium
05000US24033,"Prince George's County, Maryland",County,37.8,34,2.81,86290,9.3,12.6,7.4,8.6,9.8,38.8,42.2,44.7,7.2,89.6,0,Medium_Low,Medium
05000US24037,"St. Mary's County, Maryland",County,37.5,56.7,2.75,87947,9.4,11.1,9.9,7.3,3.2,52.2,30,37.7,12.3,85.6,0,Medium_Low,Lowest
05000US24043,"Washington County, Maryland",County,41.1,66,2.53,59140,17.5,18.1,8.3,13,5.2,49.1,26.8,36.6,7.8,84,0,Highest,Lowest
05000US24045,"Wicomico County, Maryland",County,37.8,63.3,2.61,54402,16.8,28,4.3,17.8,6.9,39.1,40.1,44,7.9,86.6,0,Highest,Medium
16000US2404000,"Baltimore city, Maryland",City,35.9,71.8,2.34,50177,23.7,30.5,16.8,20.2,5.8,23.4,50,53.8,5.5,78.7,0,Highest,Lowest
16000US2419125,"Columbia CDP, Maryland",City,38.6,44.9,2.63,104237,8.2,7,7.5,7.3,5.1,46.2,35.1,44.1,8,93.6,0,Medium_Low,Lowest
16000US2426000,"Ellicott City CDP, Maryland",City,43,54.3,2.62,130930,1,1.8,5.9,3.6,1.8,66.6,20.3,26.8,6.9,92.5,0,Lowest,Lowest
16000US2430325,"Frederick city, Maryland",City,36.9,48.8,2.41,86389,9.9,4.4,12.6,8.2,8.7,41.4,33.8,41,7.2,90.6,0,Medium_Low,Medium
16000US2431175,"Gaithersburg city, Maryland",City,38.7,37.6,2.64,104567,8,19.3,6.5,10.2,9.6,50.2,29,36.7,4.9,92.8,0,Medium_Low,Medium
16000US2432025,"Germantown CDP, Maryland",City,35.9,46.1,2.9,100064,6.4,10.5,6.2,6.3,4.4,52.6,28.1,32.1,5.3,95.4,0,Lowest,Lowest
16000US2432650,"Glen Burnie CDP, Maryland",City,39.9,65.6,2.5,83883,11.4,10.4,4.5,7.6,6.7,43.5,31,37.5,12.6,88.2,0,Medium_High,Medium
16000US2467675,"Rockville city, Maryland",City,39.9,31.9,2.55,100677,7.4,7.3,10.3,7.6,4.9,47.7,34.6,37.6,4.4,92.6,0,Medium_Low,Lowest
16000US2472450,"Silver Spring CDP, Maryland",City,35,35.5,2.61,88954,6.8,11.1,11.3,9.5,15.5,41.4,43.1,45.8,2,93.3,0,Medium_Low,Highest
16000US2481175,"Waldorf CDP, Maryland",City,35.9,38.8,2.7,95206,6.1,5.3,9.5,4.1,3.5,39.4,42.2,43.2,13.2,91,0,Lowest,Lowest
