GEOID,GEONAME,CountyCity,MedianAge,LiveInStateWhereBorn,HouseholdSize,Income,Foodstamps,People18Poverty,People65Poverty,PeopleAllPoverty,NoHealthInsurance,MarriedCoupleHousehold,WomenNeverMarried,MenNeverMarried,Veterans,HasBroadband,filter_$,FSGroups,HIGroups
05000US25001,"Barnstable County, Massachusetts",County,54.1,66.9,2.18,85042,5.2,7.9,3.6,5.2,2.9,51.6,21.2,30.6,8.8,91.8,0,Lowest,Lowest
05000US25003,"Berkshire County, Massachusetts",County,47.7,70.6,2.2,58895,13.4,15.5,9,10.8,2.9,44.1,32.3,36.9,7.1,86.7,0,Medium_High,Lowest
05000US25005,"Bristol County, Massachusetts",County,41,76.8,2.49,70402,15,16.5,9.2,11.4,3,46,31.5,38.1,6.3,84.8,0,Highest,Lowest
05000US25009,"Essex County, Massachusetts",County,40.6,76.6,2.59,83810,12,11.4,9.3,8.7,3.1,48.2,31.5,36.4,4.9,88,0,Medium_High,Lowest
05000US25011,"Franklin County, Massachusetts",County,47.4,71.7,2.22,60018,13.5,7.3,5.3,8.4,2.3,40,30.2,34.4,8.1,83.4,0,Medium_High,Lowest
05000US25013,"Hampden County, Massachusetts",County,39.1,70.6,2.51,60161,21.4,18.7,11.9,13.7,3.5,38.4,38.2,45.5,5.8,81.7,0,Highest,Lowest
05000US25015,"Hampshire County, Massachusetts",County,37.7,65.2,2.28,74778,8.3,10.1,6.4,11.2,3.1,45.3,42.4,44.4,5.9,88.8,0,Medium_Low,Lowest
05000US25017,"Middlesex County, Massachusetts",County,38.8,68.6,2.54,107056,5.9,6.8,7.3,6.9,2.7,50.6,34.7,38.7,3.9,92.3,0,Lowest,Lowest
05000US25021,"Norfolk County, Massachusetts",County,40.7,72.1,2.55,107361,7.7,5.1,8.6,5.7,1.7,53.8,31.7,35.1,4.7,91.9,0,Medium_Low,Lowest
05000US25023,"Plymouth County, Massachusetts",County,43.2,81.5,2.67,90880,9.2,10.1,7.1,7.2,2.5,52.7,29.9,33.8,6.6,90,0,Medium_Low,Lowest
05000US25025,"Suffolk County, Massachusetts",County,33.1,62.4,2.44,77558,15.9,24.1,21.7,16.8,4.4,29.5,53.8,56.7,2.5,87.5,0,Highest,Lowest
05000US25027,"Worcester County, Massachusetts",County,40.3,74.7,2.53,78345,13.6,11.6,7.1,9.4,2.9,50.1,30.8,37.1,5.9,88.6,0,Medium_High,Lowest
16000US2507000,"Boston city, Massachusetts",City,32.6,59.6,2.39,79018,16,24.1,22.7,17.1,4.3,28.3,55.8,58.9,2.4,87.4,0,Highest,Lowest
16000US2509000,"Brockton city, Massachusetts",City,36.1,81.9,2.98,60250,28.6,33.5,13.9,17.8,5.4,37.1,41.6,44,3.9,81.2,0,Highest,Lowest
16000US2511000,"Cambridge city, Massachusetts",City,29.7,42.9,2.17,119540,5.3,16,8.3,11.6,1.4,32.2,55.7,59.5,1.4,90.6,0,Lowest,Lowest
16000US2523000,"Fall River city, Massachusetts",City,39.2,77,2.33,41346,29,39.2,17.4,24.5,4.2,31.3,40.1,43.8,5.4,75.2,0,Highest,Lowest
16000US2524960,"Framingham city, Massachusetts",City,35.1,75.3,2.63,80749,11.2,10.2,15.5,8.1,5.5,46.9,35.1,37.3,2.5,92.3,0,Medium_High,Lowest
16000US2534550,"Lawrence city, Massachusetts",City,34.2,64.4,2.83,50965,30.9,22.9,20.1,16.8,8,32.3,42.8,50,2.3,73.6,0,Highest,Medium
16000US2537000,"Lowell city, Massachusetts",City,36.2,76.1,2.55,62487,16.5,12.7,11.3,13.9,5.6,34.1,44.3,54.3,2.1,86,0,Highest,Lowest
16000US2537490,"Lynn city, Massachusetts",City,35.7,85.7,2.94,61572,21.6,18.8,22.3,15.9,4,42.6,33.9,45.5,3.6,75.4,0,Highest,Lowest
16000US2545000,"New Bedford city, Massachusetts",City,35.8,81.8,2.38,47305,21.9,29.3,16.4,20.2,5,32.3,38.9,46.3,6.1,79,0,Highest,Lowest
16000US2545560,"Newton city, Massachusetts",City,40.7,59.2,2.64,150106,2,3.3,4.4,5.6,1.3,62.1,35.4,35,2,95.8,0,Lowest,Lowest
16000US2555745,"Quincy city, Massachusetts",City,40.2,75.7,2.21,80959,12.6,16.4,15.1,10.6,1.5,38.4,36.6,41.9,3.7,91,0,Medium_High,Lowest
16000US2562535,"Somerville city, Massachusetts",City,32.6,52.7,2.44,100643,8.2,16.7,14.2,11.1,3.2,34.3,51.8,55.1,1.8,89,0,Medium_Low,Lowest
16000US2567000,"Springfield city, Massachusetts",City,32.1,63.2,2.69,44596,31.5,31.5,17.4,22.8,3.7,27.3,47.6,54,3.5,75.8,0,Highest,Lowest
16000US2582000,"Worcester city, Massachusetts",City,34.5,69.3,2.47,57092,24.5,20.9,14.7,17.1,3.3,35.1,44.6,50.5,4.6,83.4,0,Highest,Lowest
