GEOID,GEONAME,CountyCity,MedianAge,LiveInStateWhereBorn,HouseholdSize,Income,Foodstamps,People18Poverty,People65Poverty,PeopleAllPoverty,NoHealthInsurance,MarriedCoupleHousehold,WomenNeverMarried,MenNeverMarried,Veterans,HasBroadband,filter_$,FSGroups,HIGroups
05000US26005,"Allegan County, Michigan",County,40.2,82.3,2.67,66278,6.2,21.2,6,12,6.6,59.3,24.6,30.5,4.3,85.1,0,Lowest,Medium
05000US26017,"Bay County, Michigan",County,44.1,91.3,2.27,49610,13.8,23.2,9,13.9,4.8,46,23.6,33.9,9.4,87.8,0,Medium_High,Lowest
05000US26021,"Berrien County, Michigan",County,42.1,63.2,2.43,50153,10.7,24.1,8.3,16.2,7.5,47.3,26,34.8,6.1,75.2,0,Medium_High,Medium
05000US26025,"Calhoun County, Michigan",County,39.6,83.1,2.42,49055,10.1,20.3,10.1,13.4,6,42.2,30.4,38.3,7.8,85.2,0,Medium_Low,Lowest
05000US26037,"Clinton County, Michigan",County,41.2,86.1,2.62,69651,7.4,7.2,5.4,8.5,5.8,56.5,26.6,32.3,7.9,86.9,0,Medium_Low,Lowest
05000US26045,"Eaton County, Michigan",County,40.7,84.6,2.44,65409,7.4,9,5.2,6.6,5.2,48.9,25.7,33.2,6.9,86.6,0,Medium_Low,Lowest
05000US26049,"Genesee County, Michigan",County,40.4,85.7,2.37,50389,20.3,21.7,9.6,16.5,5.3,41.1,31.7,36.6,7.5,83.2,0,Highest,Lowest
05000US26055,"Grand Traverse County, Michigan",County,42.9,79.1,2.44,65266,7.5,8.1,2.8,6.1,5.8,53.5,23.1,30.7,7.4,90.1,0,Medium_Low,Lowest
05000US26065,"Ingham County, Michigan",County,32.4,79.1,2.38,54395,10.8,16.8,8,17.7,5.8,36.7,42.2,49,5.2,87.7,0,Medium_High,Lowest
05000US26073,"Isabella County, Michigan",County,29.5,85.3,2.59,45201,10.2,28.8,11.5,25.4,8.1,42.1,45.1,48.7,5.4,82.2,0,Medium_High,Medium
05000US26075,"Jackson County, Michigan",County,41.3,84.4,2.43,55124,12.4,16.5,9.7,14,6,42,27.8,36.9,7,85.2,0,Medium_High,Lowest
05000US26077,"Kalamazoo County, Michigan",County,34.8,76.8,2.5,56441,7.7,11.9,6.5,13.4,5.7,44.2,36.8,42.6,5.8,88.5,0,Medium_Low,Lowest
