GEOID,GEONAME,CountyCity,MedianAge,LiveInStateWhereBorn,HouseholdSize,Income,Foodstamps,People18Poverty,People65Poverty,PeopleAllPoverty,NoHealthInsurance,MarriedCoupleHousehold,WomenNeverMarried,MenNeverMarried,Veterans,HasBroadband,filter_$,FSGroups,HIGroups
05000US34001,"Atlantic County, New Jersey",County,41.9,70,2.53,63389,11.1,13.4,7,11.1,8.7,45.7,30.7,36.4,5.5,89.2,0,Medium_High,Medium
05000US34003,"Bergen County, New Jersey",County,42.1,62.4,2.68,108827,3.8,5.1,7.8,5.6,6.9,55.9,28,32.8,3.8,91.7,0,Lowest,Medium
05000US34005,"Burlington County, New Jersey",County,41.4,59.1,2.55,88797,4.3,7.4,5.2,5.5,4.6,52.4,28.7,34,7.1,91.9,0,Lowest,Lowest
05000US34007,"Camden County, New Jersey",County,38.7,61.7,2.66,73672,11,15.5,8.8,10.7,6.4,45.4,33.6,41.1,5.6,88.3,0,Medium_High,Medium
05000US34009,"Cape May County, New Jersey",County,50.5,54.6,2.19,69980,9.3,11.1,5.1,8.8,6.8,53.4,22.4,27.4,8.5,87.9,0,Medium_Low,Medium
05000US34011,"Cumberland County, New Jersey",County,38.1,74.4,2.68,54587,13.3,17.1,10.4,13.2,9.4,39,34.6,52.1,5.3,84.5,0,Medium_High,Medium
05000US34013,"Essex County, New Jersey",County,37.9,67.9,2.62,64626,12.8,18.6,13.8,13.9,11.4,41.6,40.9,43.1,2.7,83.5,0,Medium_High,Highest
05000US34015,"Gloucester County, New Jersey",County,40.7,62.7,2.69,89447,6.7,7,7.8,7.7,4.4,52.5,29.1,36.2,7.3,88.9,0,Medium_Low,Lowest
05000US34017,"Hudson County, New Jersey",County,35.5,61.7,2.49,78808,12.6,20.5,20.1,13.9,12.5,40.6,38.2,44,2,89.4,0,Medium_High,Highest
05000US34019,"Hunterdon County, New Jersey",County,46.3,70.9,2.5,116155,1.5,1,5.6,3.6,2.9,61.3,26,32.3,4.9,93.4,0,Lowest,Lowest
05000US34021,"Mercer County, New Jersey",County,38.8,67.3,2.66,79492,7.6,14.1,11.1,12.8,7.4,47.9,36.8,41.3,4.1,86.6,0,Medium_Low,Medium
05000US34023,"Middlesex County, New Jersey",County,39.3,67.8,2.8,93418,6.5,11.9,9.7,8.8,7.6,56.6,30.1,35.7,3.7,90.1,0,Lowest,Medium
05000US34025,"Monmouth County, New Jersey",County,43.5,64.1,2.55,102870,4.2,6.2,6.7,6,5.2,54.2,28.3,33.2,4.7,91.9,0,Lowest,Lowest
05000US34027,"Morris County, New Jersey",County,43.3,71.2,2.61,116283,2.9,6.9,5.8,5.5,5.3,57.6,27,31.9,3.7,93.2,0,Lowest,Lowest
05000US34029,"Ocean County, New Jersey",County,42.3,72.8,2.65,76093,6,13.8,6,9,4.6,52.3,25,33.2,6.8,85.4,0,Lowest,Lowest
05000US34031,"Passaic County, New Jersey",County,37.7,78.3,2.93,77040,13.7,21,12.2,13.4,14,47.4,36.9,41.4,2.9,89,0,Medium_High,Highest
