GEOID,GEONAME,CountyCity,MedianAge,LiveInStateWhereBorn,HouseholdSize,Income,Foodstamps,People18Poverty,People65Poverty,PeopleAllPoverty,NoHealthInsurance,MarriedCoupleHousehold,WomenNeverMarried,MenNeverMarried,Veterans,HasBroadband,filter_$,FSGroups,HIGroups
05000US36001,"Albany County, New York",County,38,84.4,2.25,69953,10.5,17.4,6,11.9,2.6,40.8,37.1,42.8,5.6,86.6,0,Medium_High,Lowest
05000US36005,"Bronx County, New York",County,34.8,80.5,2.66,41432,34.6,37.1,25.2,26.4,7.9,25.7,47.5,53,2.4,81.3,0,Highest,Medium
05000US36007,"Broome County, New York",County,40,83.7,2.28,52010,16.7,28.4,9.9,18.8,4.3,42.6,33.8,42.8,7.1,84.2,0,Highest,Lowest
05000US36009,"Cattaraugus County, New York",County,42.5,83.8,2.23,50912,14.6,20.3,11.2,14.5,8.3,46.7,23.6,31.8,9.8,74.9,0,Highest,Medium
05000US36011,"Cayuga County, New York",County,44,87.7,2.3,58665,15.8,23.9,7.3,14.6,4,42.1,28.2,37.2,7.7,84.7,0,Highest,Lowest
05000US36013,"Chautauqua County, New York",County,43.1,77.9,2.2,50272,19.8,25.3,9.6,16.4,5.6,42.2,29.9,37.5,8.1,79.9,0,Highest,Lowest
05000US36015,"Chemung County, New York",County,42.4,78.6,2.36,60782,16,18.9,8.1,13.9,3.4,45,30.7,39.7,9,83.2,0,Highest,Lowest
05000US36019,"Clinton County, New York",County,40.6,81.7,2.31,60198,17,20.8,5.4,16.5,3.3,43.9,30.9,42.3,7.2,83.4,0,Highest,Lowest
05000US36027,"Dutchess County, New York",County,42.8,79,2.51,85901,8.2,8.5,8.3,8.3,5.4,50.2,30.7,37.6,4.7,90.8,0,Medium_Low,Lowest
05000US36029,"Erie County, New York",County,40.3,87.2,2.24,60652,14.5,19.5,9.2,13.3,2.6,40.5,33.4,40.1,6.8,86.2,0,Highest,Lowest
