GEOID,GEONAME,CountyCity,MedianAge,LiveInStateWhereBorn,HouseholdSize,Income,Foodstamps,People18Poverty,People65Poverty,PeopleAllPoverty,NoHealthInsurance,MarriedCoupleHousehold,WomenNeverMarried,MenNeverMarried,Veterans,HasBroadband,filter_$,FSGroups,HIGroups
05000US37001,"Alamance County, North Carolina",County,38.5,72.8,2.57,58490,12.6,25.2,10.7,15.3,10.1,49.2,32.3,32.3,6.9,81,0,Medium_High,Medium
05000US37019,"Brunswick County, North Carolina",County,56.1,43.4,2.43,63668,10.9,21.2,4.9,9.4,9.2,59,20.1,24.6,11.6,91.9,0,Medium_High,Medium
05000US37021,"Buncombe County, North Carolina",County,42,55.4,2.38,54970,7,17.1,10.6,12.2,13.3,46.7,29.3,34.2,7.7,83.3,0,Medium_Low,Highest
05000US37023,"Burke County, North Carolina",County,46.2,75.9,2.39,47361,14.6,40,6.2,21,11.6,51.1,22.8,33.9,7,78.2,0,Highest,Highest
05000US37025,"Cabarrus County, North Carolina",County,37.1,57.8,3.12,72333,7.6,8.3,9.7,7.3,9.2,56.7,27.5,34.8,6.2,89.8,0,Medium_Low,Medium
05000US37027,"Caldwell County, North Carolina",County,45.5,77.8,2.5,48737,9.5,12.5,6.2,10,13.2,45.8,24.5,32.2,8.6,84.9,0,Medium_Low,Highest
05000US37031,"Carteret County, North Carolina",County,50,57,2.36,60186,9.2,12.3,6.7,8.9,10.6,52,21.5,27.8,12.3,88.8,0,Medium_Low,Highest
05000US37035,"Catawba County, North Carolina",County,41.3,69,2.51,52436,10.4,20.7,12.5,14.9,16,48.1,27.3,32.6,6.7,85.4,0,Medium_High,Highest
05000US37037,"Chatham County, North Carolina",County,46.7,54.1,2.41,66857,10.1,10.9,4,8.4,10.7,56.4,21.7,27.7,8.1,78.9,0,Medium_Low,Highest
05000US37045,"Cleveland County, North Carolina",County,40.6,75.2,3.15,44987,14.4,37.9,11.3,21.3,12.6,48.9,26.8,37.5,7.1,69.8,0,Highest,Highest
05000US37049,"Craven County, North Carolina",County,37.6,50,2.3,52832,11.4,19,7.1,13.8,11.2,54.3,20.9,27.8,16.4,80.5,0,Medium_High,Highest
05000US37051,"Cumberland County, North Carolina",County,31.5,50.9,2.49,46292,17.8,25.9,13.2,18.1,11.4,40,31.8,42.8,17.5,87.4,0,Highest,Highest
05000US37057,"Davidson County, North Carolina",County,44.4,75.1,2.37,53473,16.2,27.7,8.5,17.5,11.1,52.3,21.1,27.1,7.8,83.4,0,Highest,Highest
05000US37063,"Durham County, North Carolina",County,35.7,54.1,2.33,65317,10.3,20.8,8.2,14.1,12.8,39.1,39.1,43,6.1,90.2,0,Medium_High,Highest
05000US37067,"Forsyth County, North Carolina",County,38.4,63.1,2.51,52017,11.6,23.2,9.2,15.5,12.3,43,33.9,39,5.9,85,0,Medium_High,Highest
05000US37069,"Franklin County, North Carolina",County,40.8,67.7,2.55,57099,11.9,9.2,4.7,8.8,9.4,54.1,23.2,32.4,8.3,86.3,0,Medium_High,Medium
05000US37071,"Gaston County, North Carolina",County,40,71.4,2.58,56595,14.6,13.5,10,11,11.3,46.1,27.6,33,7.7,85,0,Highest,Highest
05000US37081,"Guilford County, North Carolina",County,37.7,60.7,2.49,55328,12.9,24,11.9,16.4,10.6,42.2,36.7,40.2,6.2,84.4,0,Medium_High,Highest
05000US37085,"Harnett County, North Carolina",County,34.8,58.3,2.86,55753,12,22.8,13.5,16.9,13.9,50.6,29.4,37.9,11,83,0,Medium_High,Highest
05000US37089,"Henderson County, North Carolina",County,47.5,50.8,2.27,62131,7.5,22.6,5.8,10.5,12.3,52.9,16.5,26.5,8.6,85.2,0,Medium_Low,Highest
05000US37097,"Iredell County, North Carolina",County,41,58.7,2.65,68660,6.5,9.8,5.6,7.4,9.6,57.9,25.4,32.2,6.9,88.7,0,Lowest,Medium
