GEOID,GEONAME,CountyCity,MedianAge,LiveInStateWhereBorn,HouseholdSize,Income,Foodstamps,People18Poverty,People65Poverty,PeopleAllPoverty,NoHealthInsurance,MarriedCoupleHousehold,WomenNeverMarried,MenNeverMarried,Veterans,HasBroadband,filter_$,FSGroups,HIGroups
05000US39003,"Allen County, Ohio",County,38.7,84.2,2.44,60429,10.9,19.7,6.6,12,6.5,45,25,36.4,8.1,88,0,Medium_High,Medium
05000US39007,"Ashtabula County, Ohio",County,42.3,79.6,2.38,44580,20.3,32.4,13.4,21.6,10.1,44.4,26.1,34.5,10.3,75.2,0,Highest,Medium
05000US39009,"Athens County, Ohio",County,30.5,75.4,2.46,41851,15.3,29.2,4.4,27.4,5.2,47.1,44.9,49.5,5.2,83.8,0,Highest,Lowest
05000US39013,"Belmont County, Ohio",County,43.7,52,2.45,49780,10.5,10.7,9.9,10.2,6.6,46.3,25,35.6,7.7,79,0,Medium_High,Medium
05000US39017,"Butler County, Ohio",County,37.1,74.5,2.65,68584,8.8,14.7,7.3,12,6.5,50,31.3,36.9,6.5,90.2,0,Medium_Low,Medium
05000US39023,"Clark County, Ohio",County,41.2,81.6,2.41,50128,16.5,20.1,8.7,14.6,6.6,44.1,27.7,33.9,9.6,86.7,0,Highest,Medium
05000US39025,"Clermont County, Ohio",County,40.5,75.7,2.56,67744,6.5,12.2,7.9,7.9,5.9,53.7,23.5,31.1,7.5,90.4,0,Lowest,Lowest
05000US39029,"Columbiana County, Ohio",County,45.4,77.3,2.42,53542,14.6,14.8,9.3,12.4,4.4,47.7,21.7,32.9,9.6,81.2,0,Highest,Lowest
05000US39035,"Cuyahoga County, Ohio",County,40.4,79.2,2.2,52423,16.5,23.3,11.4,16.1,5.3,34.7,36.6,42.2,6.3,81.2,0,Highest,Lowest
05000US39041,"Delaware County, Ohio",County,39.1,75,2.82,107854,4,7.8,4.5,6.1,3.7,64.6,23.7,28.1,6,94.5,0,Lowest,Lowest
05000US39043,"Erie County, Ohio",County,45.1,79.8,2.41,60653,13.6,22.2,4.5,11.9,7.9,47.6,24.4,33.2,8.2,84.7,0,Medium_High,Medium
05000US39045,"Fairfield County, Ohio",County,39.6,82.6,2.62,71469,9.5,13.2,5.7,8.1,5.4,54.3,22.3,32.1,6.9,87.8,0,Medium_Low,Lowest
05000US39049,"Franklin County, Ohio",County,34.3,73.5,2.47,64713,10.1,18.4,9.2,13.4,8,40.1,36.1,42,6,90.6,0,Medium_Low,Medium
05000US39055,"Geauga County, Ohio",County,44.3,80,2.61,77391,4.3,2.4,4.2,4.9,10.4,61.7,24.4,29,6.4,79.3,0,Lowest,Highest
05000US39057,"Greene County, Ohio",County,37.6,68.5,2.41,67394,8.4,15.8,4.5,10.3,5.9,48.8,28.9,38,11.9,92.2,0,Medium_Low,Lowest
05000US39061,"Hamilton County, Ohio",County,36.7,75.3,2.3,60198,10,20.8,8.4,14.5,6.2,38.6,36.1,41.2,6,88.3,0,Medium_Low,Lowest
05000US39063,"Hancock County, Ohio",County,39.9,84.7,2.27,60944,7.7,10.4,4.4,10,3.1,47.7,24.9,27.8,8.7,87,0,Medium_Low,Lowest
05000US39081,"Jefferson County, Ohio",County,45.3,66.2,2.29,47445,15.9,28.7,6.3,17.2,6.5,45,28.8,34.5,9.3,81.3,0,Highest,Medium
05000US39085,"Lake County, Ohio",County,43.5,84.3,2.34,64076,8.1,11.7,5.9,8.6,5.9,46.2,26.6,35.9,7.4,89.1,0,Medium_Low,Lowest
05000US39089,"Licking County, Ohio",County,40.6,78.1,2.6,66013,11.6,11.7,8.7,9.3,7.2,54.7,25.6,30.5,8.8,89.3,0,Medium_High,Medium
05000US39093,"Lorain County, Ohio",County,42.1,80.6,2.5,58686,11.6,21.2,8.8,14.3,6.1,44.3,30.8,38.2,7.7,78.9,0,Medium_High,Lowest
