GEOID,GEONAME,CountyCity,MedianAge,LiveInStateWhereBorn,HouseholdSize,Income,Foodstamps,People18Poverty,People65Poverty,PeopleAllPoverty,NoHealthInsurance,MarriedCoupleHousehold,WomenNeverMarried,MenNeverMarried,Veterans,HasBroadband,filter_$,FSGroups,HIGroups
05000US42001,"Adams County, Pennsylvania",County,44.3,62.1,2.55,67715,6.9,9,5.2,7.2,6.3,56.4,25.8,30.1,8.3,85.4,0,Medium_Low,Lowest
05000US42003,"Allegheny County, Pennsylvania",County,40.5,81.2,2.14,64871,11.9,14.1,7.8,10.8,3.7,40.7,33,39.9,6.8,87.6,0,Medium_High,Lowest
05000US42005,"Armstrong County, Pennsylvania",County,47.3,93.4,2.19,57636,11.7,13.1,9.4,9.7,4.5,49.7,19.6,26.8,9.4,79,0,Medium_High,Lowest
05000US42007,"Beaver County, Pennsylvania",County,45.3,83.3,2.28,60672,15.5,21.1,6.8,12,4.3,45.2,26.3,32.1,8.1,85,0,Highest,Lowest
05000US42011,"Berks County, Pennsylvania",County,39.9,76.6,2.63,67708,12.7,16.8,5.2,10.1,5.4,49,31.4,37.1,6.4,84.4,0,Medium_High,Lowest
05000US42013,"Blair County, Pennsylvania",County,43.1,86.5,2.26,51004,18,24.8,9.6,15.6,5.7,45.8,24.6,32.9,8.6,84.1,0,Highest,Lowest
05000US42017,"Bucks County, Pennsylvania",County,44,72.2,2.57,93767,6.8,7.3,4.6,5.5,3.8,56.2,24.9,31.4,6.2,91.5,0,Medium_Low,Lowest
05000US42019,"Butler County, Pennsylvania",County,43.8,84.7,2.34,72262,10.9,6.6,5.8,7.5,2.9,54.7,25.1,29.5,7.5,85.3,0,Medium_High,Lowest
05000US42021,"Cambria County, Pennsylvania",County,46.3,88.3,2.19,49076,19.9,26.8,8.1,15.3,3.7,47.2,25.2,35,8.9,81.7,0,Highest,Lowest
05000US42025,"Carbon County, Pennsylvania",County,47.6,78.5,2.33,61111,9.6,6.7,8.1,8.2,4.5,49.2,24.6,33.1,7.8,83.3,0,Medium_Low,Lowest
05000US42027,"Centre County, Pennsylvania",County,33.4,73.8,2.44,60706,4,4.9,5.5,16.3,8.2,45.7,40.4,49.7,5.5,82.9,0,Lowest,Medium
05000US42029,"Chester County, Pennsylvania",County,40.4,68.1,2.64,102016,4.6,6.1,5.2,5.8,4.8,58.2,28.3,32.3,5.9,92.2,0,Lowest,Lowest
05000US42033,"Clearfield County, Pennsylvania",County,45.7,87,2.29,45643,20.3,18.3,9.4,13.2,5.7,47.5,19.9,37.9,9.2,76.7,0,Highest,Lowest
05000US42037,"Columbia County, Pennsylvania",County,41.5,84.4,2.32,54570,9.7,20,11.6,16,4.8,48.1,32.1,36.8,7.5,80.9,0,Medium_Low,Lowest
05000US42039,"Crawford County, Pennsylvania",County,43.9,80.2,2.29,49428,14.4,17.1,7.2,11.4,8.3,51.2,26.1,29.1,9.4,81.4,0,Highest,Medium
05000US42041,"Cumberland County, Pennsylvania",County,41.3,75.3,2.36,75391,6.8,9.2,4.6,6.7,6.3,51,26,33.9,9,87.4,0,Medium_Low,Lowest
05000US42043,"Dauphin County, Pennsylvania",County,39.6,75.6,2.38,60733,9.9,18.2,6.5,11.4,6.7,43.1,30.5,39.2,7.8,85.1,0,Medium_Low,Medium
05000US42045,"Delaware County, Pennsylvania",County,39,79.1,2.6,77339,11.5,14.4,6.4,9.9,4.8,48,35.3,40.4,5.3,89.1,0,Medium_High,Lowest
05000US42049,"Erie County, Pennsylvania",County,40.2,81.6,2.33,51818,18.7,26.2,9.7,17.4,4.8,41.1,31.3,38.1,8.3,83.9,0,Highest,Lowest
05000US42051,"Fayette County, Pennsylvania",County,45.4,85.1,2.26,48509,24.9,30.1,10.3,17.9,4.8,42,27.1,36.2,7.1,79.9,0,Highest,Lowest
05000US42055,"Franklin County, Pennsylvania",County,41.8,66.3,2.54,62484,10.5,10.1,3.9,6.8,8.7,53.6,22.8,31.1,9.7,86.6,0,Medium_High,Medium
05000US42063,"Indiana County, Pennsylvania",County,40,89.8,2.56,51914,14.2,17.9,11.4,13,8.2,48.6,34,43.1,7.2,76.3,0,Medium_High,Medium
05000US42069,"Lackawanna County, Pennsylvania",County,42,76.6,2.29,53826,16.8,19.9,8,14.8,5.7,45,30.9,36.2,7.5,86.5,0,Highest,Lowest
05000US42071,"Lancaster County, Pennsylvania",County,38.5,78.8,2.61,67376,7.5,15.5,7.4,11.1,11.3,54,27.5,33.3,6.4,83.2,0,Medium_Low,Highest
05000US42073,"Lawrence County, Pennsylvania",County,45.2,84.1,2.24,50547,19.2,16.3,9.2,11.6,5.5,47.4,25.9,30.6,9.3,83.3,0,Highest,Lowest
05000US42075,"Lebanon County, Pennsylvania",County,41.4,78.4,2.57,61204,10.9,19.8,5.8,11.5,7.5,50.5,27.4,34.2,9,82.7,0,Medium_High,Medium
05000US42077,"Lehigh County, Pennsylvania",County,39,65.1,2.6,65667,15.4,19.3,8.5,11.9,6.7,48.4,32.6,38.1,5.9,86.5,0,Highest,Medium
05000US42079,"Luzerne County, Pennsylvania",County,42.5,79.4,2.33,53972,18.3,26.5,7.4,15.7,5.9,42.3,31.3,38.3,8.6,83.4,0,Highest,Lowest
05000US42081,"Lycoming County, Pennsylvania",County,42.1,84.9,2.39,53881,15.7,19.5,6.5,14,6.2,46.9,26.1,34.9,9.8,82,0,Highest,Lowest
05000US42085,"Mercer County, Pennsylvania",County,45.5,78.8,2.2,54543,18.9,17.7,5.6,12.6,5.7,46.9,26.3,33.6,8.2,82.4,0,Highest,Lowest
05000US42089,"Monroe County, Pennsylvania",County,43.1,39.8,2.99,62413,10.2,20.3,9.2,13,7.4,53.6,32,36.8,7.3,89.7,0,Medium_High,Medium
05000US42091,"Montgomery County, Pennsylvania",County,41.1,79.3,2.52,92302,5.6,6.9,5.5,6,3.8,54,28.6,33.1,5.6,92.4,0,Lowest,Lowest
05000US42095,"Northampton County, Pennsylvania",County,41.9,64.1,2.56,74328,9.4,8.8,6.6,7.3,3.3,50.4,30.4,36.9,7.1,84.7,0,Medium_Low,Lowest
05000US42097,"Northumberland County, Pennsylvania",County,44.1,89.5,2.24,47349,13.3,22.9,8,13.1,3.3,47.2,22,35.2,8.3,77.5,0,Medium_High,Lowest
05000US42101,"Philadelphia County, Pennsylvania",County,34.7,74.8,2.48,47474,27.6,32.1,19.3,23.3,8.1,28.1,49.1,52.9,4.5,84.2,0,Highest,Medium
05000US42107,"Schuylkill County, Pennsylvania",County,44.7,86.2,2.3,56295,16.1,13.9,8,11.5,4,46.2,24.4,37.3,8.5,80.2,0,Highest,Lowest
05000US42111,"Somerset County, Pennsylvania",County,46.4,85.7,2.31,48895,13.5,20.1,8,11.9,5,51.8,21,32.5,9.3,75.2,0,Medium_High,Lowest
05000US42125,"Washington County, Pennsylvania",County,44.3,84.4,2.32,65431,13.3,12,8,9.9,5,49.1,26.3,34.1,6.7,87,0,Medium_High,Lowest
05000US42129,"Westmoreland County, Pennsylvania",County,47,88.4,2.2,59073,12.3,14.8,7.5,10.7,4.1,47.8,24.3,32.7,9,84.1,0,Medium_High,Lowest
05000US42133,"York County, Pennsylvania",County,41,66.9,2.51,69172,10.6,13.1,9.3,9.4,4.4,51.8,25.6,33.2,7.8,86.7,0,Medium_High,Lowest
16000US4202000,"Allentown city, Pennsylvania",City,31.2,49.6,2.8,40835,35,33.9,14.2,22.3,11.8,34.4,50.2,51.8,3.8,77.3,0,Highest,Highest
16000US4206088,"Bethlehem city, Pennsylvania",City,35.3,58.8,2.39,60268,17.6,11.5,10.1,12.5,6.9,35.8,40.4,53.6,5.7,87.2,0,Highest,Medium
16000US4224000,"Erie city, Pennsylvania",City,37.1,78.2,2.26,35798,32.7,44.6,18,28.5,6.5,26.6,42.6,48.5,7,80.5,0,Highest,Medium
16000US4260000,"Philadelphia city, Pennsylvania",City,34.7,74.8,2.48,47474,27.6,32.1,19.3,23.3,8.1,28.1,49.1,52.9,4.5,84.2,0,Highest,Medium
16000US4261000,"Pittsburgh city, Pennsylvania",City,33.3,74.6,1.94,53799,16,27,12.4,19.1,5.5,25.7,49.6,56.5,4.8,86.5,0,Highest,Lowest
16000US4263624,"Reading city, Pennsylvania",City,30.4,53.3,2.92,39670,37.9,39.2,16.3,24.7,7.1,23.7,49.3,54.5,4.5,76.9,0,Highest,Medium
16000US4269000,"Scranton city, Pennsylvania",City,38.2,69.2,2.3,41169,23.8,31.1,8.4,23.5,7.5,38,40.6,44.7,8.2,85.7,0,Highest,Medium
