GEOID,GEONAME,CountyCity,MedianAge,LiveInStateWhereBorn,HouseholdSize,Income,Foodstamps,People18Poverty,People65Poverty,PeopleAllPoverty,NoHealthInsurance,MarriedCoupleHousehold,WomenNeverMarried,MenNeverMarried,Veterans,HasBroadband,filter_$,FSGroups,HIGroups
05000US48005,"Angelina County, Texas",County,37.2,86.3,2.6,53320,18.4,18.5,6.2,14.2,17.6,51.2,23,28.7,8.4,86.8,0,Highest,Highest
05000US48021,"Bastrop County, Texas",County,36.9,73.5,3.27,57938,12.4,36.8,7.4,19.7,22.4,51.2,27.4,36,10.3,75.6,0,Medium_High,Highest
05000US48027,"Bell County, Texas",County,31.5,51,2.76,54560,13.1,17.7,9.4,14.4,15,46.5,31.6,33.7,20.7,87.9,0,Medium_High,Highest
05000US48029,"Bexar County, Texas",County,34.1,71.3,3.05,58964,13.8,23,12.1,15.2,16.9,42.9,35.1,42.5,9.2,85.2,0,Medium_High,Highest
05000US48037,"Bowie County, Texas",County,38.3,68.9,2.49,51802,10.4,20.6,10.2,16.1,15.6,47.4,25.3,32.7,9.2,78.2,0,Medium_High,Highest
05000US48039,"Brazoria County, Texas",County,36.6,78.3,2.8,84904,5.3,9.4,4.3,7.4,14.5,55.5,26.9,33,5.3,90.5,0,Lowest,Highest
05000US48041,"Brazos County, Texas",County,26.9,72.7,2.66,55121,9.7,20.9,7.2,20.8,12.7,39.8,46,50.8,4.9,82.7,0,Medium_Low,Highest
05000US48061,"Cameron County, Texas",County,31.9,88.2,3.25,41123,26.3,37.1,18.3,25.6,30,49.3,28.9,36.8,4,71.8,0,Highest,Highest
05000US48085,"Collin County, Texas",County,37.3,56.1,2.83,96134,2.7,7.1,7.6,6.3,11.1,59.7,26.6,31.4,5.2,94.3,0,Lowest,Highest
05000US48091,"Comal County, Texas",County,42.4,63.1,2.72,89315,6.7,3.6,6,5.6,10,62.3,23.6,28.1,13,94.2,0,Medium_Low,Medium
05000US48099,"Coryell County, Texas",County,32.8,51.2,2.75,53504,6.5,11.8,14.3,10.5,11.9,50.7,26.6,40.9,19.6,86.7,0,Lowest,Highest
05000US48113,"Dallas County, Texas",County,33.7,71.7,2.77,61796,10,21.3,11.8,13.9,22.9,42.8,35.9,41.1,4.3,84.8,0,Medium_Low,Highest
05000US48121,"Denton County, Texas",County,36,56.6,2.87,90523,3.8,7,6,6.5,11.7,56.5,29.7,34.7,6.2,95.3,0,Lowest,Highest
05000US48135,"Ector County, Texas",County,31,78.7,3.1,67205,4.8,16,9.9,10.4,21.8,49,30.7,40.8,4.7,78.8,0,Lowest,Highest
05000US48139,"Ellis County, Texas",County,36.6,74.1,2.98,78797,7,13.7,3.9,8.8,16.3,60.1,24.5,29.3,9.2,89.8,0,Medium_Low,Highest
05000US48141,"El Paso County, Texas",County,32.6,76.3,3.06,48903,22.1,26.6,17,18.8,22.2,44.7,33.2,40.7,7.2,84.6,0,Highest,Highest
05000US48157,"Fort Bend County, Texas",County,36.8,67.9,3.18,101293,6.5,6.1,8.2,6.3,13.4,66.3,27,30.8,4.6,93.5,0,Lowest,Highest
05000US48167,"Galveston County, Texas",County,38.2,71.2,2.65,74977,10.7,15.4,7,10.9,14.2,51.5,27.3,31.9,7.8,92,0,Medium_High,Highest
05000US48181,"Grayson County, Texas",County,40.2,68.7,2.73,57476,11.5,17.1,6.1,11.2,19.5,48.8,22.5,35.1,10.1,80.2,0,Medium_High,Highest
05000US48183,"Gregg County, Texas",County,36.3,77.7,2.6,53793,12.1,27,7.2,17.8,19.8,46.5,26,38.6,7.1,87,0,Medium_High,Highest
05000US48187,"Guadalupe County, Texas",County,37.6,62.7,2.95,79768,5.6,8.7,6.1,5.5,13.5,59,22.5,31.4,14.6,89.5,0,Lowest,Highest
05000US48201,"Harris County, Texas",County,33.9,72.5,2.84,61618,11.2,21.7,11.1,15.1,22.4,46.2,33.7,40.1,4.5,87.8,0,Medium_High,Highest
05000US48203,"Harrison County, Texas",County,39.5,70.7,2.7,58817,17.1,38,9.5,21.9,17.8,50.1,25.9,33.9,7.1,73,0,Highest,Highest
05000US48209,"Hays County, Texas",County,32.6,71.9,2.87,72058,7.2,13.2,7.5,12.7,13.6,52.1,36,41.6,6.5,91.3,0,Medium_Low,Highest
05000US48213,"Henderson County, Texas",County,44.4,76.8,2.66,51521,13.1,37.4,7.1,18.4,20.1,48.9,19,30.7,7.9,75.6,0,Medium_High,Highest
05000US48215,"Hidalgo County, Texas",County,29.6,86.8,3.47,41800,27.1,38.3,24.3,27.3,32.2,52.6,33.2,40.4,2.9,73.2,0,Highest,Highest
05000US48231,"Hunt County, Texas",County,38.5,73.1,2.73,58063,13.8,22,4.5,15.8,15.2,50.4,24.6,34.7,8.8,85,0,Medium_High,Highest
05000US48245,"Jefferson County, Texas",County,37.1,77.7,2.64,55797,12.6,25.5,10.5,16.6,20.4,44.3,33.5,37.2,7.2,86.2,0,Medium_High,Highest
05000US48251,"Johnson County, Texas",County,37,72.2,2.93,66319,8.7,18.4,8.1,12.1,18.3,56.1,21.1,29.3,5.4,89.7,0,Medium_Low,Highest
05000US48257,"Kaufman County, Texas",County,35.1,76.7,3.38,75775,10.3,14.9,7.7,10.5,13.4,60.3,26.3,31.1,7.4,85,0,Medium_High,Highest
05000US48291,"Liberty County, Texas",County,35.1,79.9,2.97,50049,13.4,14,12.7,13.7,22.3,49.9,27.9,30,8.7,83.7,0,Medium_High,Highest
05000US48303,"Lubbock County, Texas",County,31,77.8,2.54,55003,12.2,24.1,8.6,18.5,14,43.3,35.2,43.2,5.6,83.9,0,Medium_High,Highest
05000US48309,"McLennan County, Texas",County,33.9,80,2.66,50845,10.1,23.7,10.2,18.7,13.1,45.9,34.2,38.3,6.6,84.2,0,Medium_Low,Highest
05000US48329,"Midland County, Texas",County,32.4,70.4,2.95,82558,6,11.5,13.8,10.7,16,49.6,26.4,38.5,6.5,81.7,0,Lowest,Highest
05000US48339,"Montgomery County, Texas",County,37.7,62.3,2.89,88695,6.2,14.1,7.5,9.1,13.8,60.9,24,29.8,6.9,92.8,0,Lowest,Highest
05000US48347,"Nacogdoches County, Texas",County,31.5,82.4,2.42,47572,16.4,24.7,10.3,21.3,13,42,38.1,41.4,7.5,79.8,0,Highest,Highest
05000US48355,"Nueces County, Texas",County,35.9,82.5,2.7,56789,15.3,22.5,15.7,16.1,17.5,44.5,28.8,37.9,8.4,86.8,0,Highest,Highest
05000US48361,"Orange County, Texas",County,37.7,73.8,2.59,69052,10.2,16,8.1,11.2,13.6,57,22,28.8,7.4,88.8,0,Medium_High,Highest
05000US48367,"Parker County, Texas",County,40.1,72.4,3.24,83262,5.4,8.7,10.3,8.4,14,65.8,25.3,27.9,8.4,85.5,0,Lowest,Highest
05000US48375,"Potter County, Texas",County,34,72.8,2.51,37297,13.6,25.6,19.3,21,23.9,37.4,30.7,36.2,7,85.5,0,Medium_High,Highest
05000US48381,"Randall County, Texas",County,36.6,72.9,2.69,70651,5.2,14.2,8.4,9.4,8.5,53.5,25.5,28.4,9.7,91.9,0,Lowest,Medium
05000US48397,"Rockwall County, Texas",County,37.6,61.1,2.84,103378,4.7,5.9,2.1,4.5,12.5,64.5,23.7,26.6,8.5,97.4,0,Lowest,Highest
05000US48409,"San Patricio County, Texas",County,36.7,81.6,3.01,57899,12.1,14.8,8.1,12.7,14.5,47.4,35.1,37.7,7,75.9,0,Medium_High,Highest
05000US48423,"Smith County, Texas",County,36.6,73.9,2.88,59584,8.3,14.1,8.7,12.4,17,50.6,26.9,35.1,6.3,82,0,Medium_Low,Highest
05000US48439,"Tarrant County, Texas",County,34.8,65.9,2.86,70139,9.4,13.9,8.3,10.2,16.7,50.2,31.2,36.1,6.9,91,0,Medium_Low,Highest
05000US48441,"Taylor County, Texas",County,32.9,70.7,2.61,55351,12.7,18.2,8.9,14,17.2,48.4,31.7,36.7,9.8,84.7,0,Medium_High,Highest
05000US48451,"Tom Green County, Texas",County,34.9,74.4,2.59,55988,10,16.2,10.3,12.1,12.3,48.5,29.1,34.1,10,87.9,0,Medium_Low,Highest
05000US48453,"Travis County, Texas",County,34.8,61.9,2.45,80726,6.7,14.1,8,10.9,14.1,43.4,35.8,42.5,4.9,90.4,0,Medium_Low,Highest
05000US48469,"Victoria County, Texas",County,36.6,87.4,3.02,57358,10.3,24.2,7,14.5,19.9,49.9,27.7,40.2,7.1,74.7,0,Medium_High,Highest
05000US48471,"Walker County, Texas",County,36.7,81.6,2.62,47170,5.6,20.6,2.7,19.7,10.2,46.5,40.8,45.6,8.5,83.3,0,Lowest,Highest
05000US48479,"Webb County, Texas",County,29.3,87.9,3.58,56084,21.8,28.5,18.8,20.5,28.7,54,35.5,40.7,2.6,80.2,0,Highest,Highest
05000US48485,"Wichita County, Texas",County,34.8,67,2.47,51749,11.2,13.9,9.5,12.9,15.1,45.3,26.4,40.6,10.9,81.8,0,Medium_High,Highest
05000US48491,"Williamson County, Texas",County,36.9,57.9,3.04,92179,4.4,6.1,4,5.5,10,57.6,28.7,34.5,8.6,95.3,0,Lowest,Medium
05000US48497,"Wise County, Texas",County,38.8,74.6,3.02,71421,7.6,6.6,7.5,5.3,19.2,65.1,19.3,26.6,8.1,82.2,0,Medium_Low,Highest
16000US4801000,"Abilene city, Texas",City,32.4,71.1,2.56,52997,14.3,18.3,9.9,15.1,16.2,46,33.7,41,9.3,84.3,0,Medium_High,Highest
16000US4801924,"Allen city, Texas",City,39.5,55.4,3.05,101360,1.6,2.2,7.5,3.5,9.9,66,23.9,31.4,6.6,97.3,0,Lowest,Medium
16000US4803000,"Amarillo city, Texas",City,34.7,73.1,2.57,49802,9.8,20.7,14.4,15.4,16.7,41.7,28,32.6,8.4,88.2,0,Medium_Low,Highest
