gender,emphasishealth,hoursofsleep,strongphysical,strongmind,controlhabits,tobacconicotineuser,percentusetobacco,ecigsvape,cigaretteproblem,vapeecigproblem
Female,9,SevenOrLess,99,100,100,No,74,73,Yes,Yes
Male,1,SevenOrLess,2,98,100,Yes,22,31,No,No
Female,9,SevenOrLess,100,95,51,No,54,69,No,Yes
Male,10,SevenOrLess,88,80,85,No,78,72,No,Yes
Female,6,SevenOrLess,60,63,84,Yes,39,77,Yes,Yes
Female,4,SevenOrLess,21,75,16,No,21,19,Yes,Yes
Female,6,SevenOrLess,50,68,65,No,29,40,No,No
Female,6,SevenOrLess,71,92,99,No,37,81,No,No
Female,8,SevenOrLess,88,100,59,No,49,57,Yes,Yes
Female,8,EightPlus,75,68,55,No,19,21,No,No
Female,4,SevenOrLess,64,73,62,Yes,13,23,No,No
Female,8,EightPlus,60,73,73,No,41,64,No,No
Male,7,SevenOrLess,67,77,44,No,33,24,Yes,Yes
Male,8,SevenOrLess,87,92,71,No,36,32,No,No
Female,7,EightPlus,78,78,74,No,20,27,Yes,Yes
Female,8,SevenOrLess,71,67,89,No,24,58,No,Yes
Female,6,SevenOrLess,51,63,65,No,29,65,No,Yes
Male,5,SevenOrLess,42,52,69,Yes,46,60,No,Yes
Female,10,EightPlus,100,100,99,No,34,35,No,No
Male,9,EightPlus,76,74,81,No,58,75,No,Yes
Male,5,SevenOrLess,68,73,73,No,64,62,No,No
Male,9,SevenOrLess,100,75,67,No,68,63,No,No
Female,7,EightPlus,3,96,3,Yes,18,51,No,Yes
Female,4,SevenOrLess,25,63,81,No,74,68,Yes,Yes
Female,5,SevenOrLess,60,93,64,No,18,69,Yes,Yes
Female,8,SevenOrLess,59,99,41,Yes,33,79,No,Yes
Female,9,SevenOrLess,96,100,97,No,37,81,Yes,Yes
Female,8,SevenOrLess,65,81,92,No,29,12,Yes,No
Female,4,EightPlus,47,47,41,Yes,85,82,No,No
Female,8,SevenOrLess,100,100,100,No,67,74,Yes,No
Female,5,SevenOrLess,58,75,37,No,64,75,No,Yes
Female,6,SevenOrLess,61,89,48,No,35,77,No,Yes
Female,8,SevenOrLess,81,93,82,No,62,82,Yes,Yes
Female,1,SevenOrLess,50,49,76,No,73,88,No,Yes
Female,6,EightPlus,47,59,46,No,64,73,Yes,Yes
Male,4,SevenOrLess,58,63,37,No,14,26,No,Yes
Female,6,EightPlus,54,84,39,No,34,77,No,Yes
Male,8,EightPlus,86,88,35,Yes,30,61,No,Yes
Female,5,EightPlus,58,74,83,No,69,85,Yes,Yes
Male,9,SevenOrLess,78,89,60,No,28,36,No,No
Male,6,EightPlus,65,94,86,Yes,35,88,No,Yes
Female,8,EightPlus,75,100,74,No,64,88,No,Yes
